Llopiz_preytypes,preytype_validated,resolved_names,resolved_id_fromgnr,data_source,taxon_level_fromid,taxon_name_fromid,taxon_bins,name_match
Caligadidae,Caligidae,Caligidae,89008,ITIS,Family,Caligidae,Other,TRUE
Calanoid Unknown,Calanoida,Calanoida,85258,ITIS,Order,Calanoida,Other Calanoids,TRUE
Sapphirina,Sapphirinidae,Sapphirinidae,88830,ITIS,Family,Sapphirinidae,Other,TRUE
Thysanopoda,Thysanopoda,Thysanopoda,95582,ITIS,Genus,Thysanopoda,Krill,TRUE
Caligoida,Siphonostomatoida,Siphonostomatoida,610010,ITIS,Order,Siphonostomatoida,Other,TRUE
Fish Remains,Fish Remains,NA,NA,OCB,NA,NA,Fish Remains,FALSE
Themistella,Themistella,Themistella,95164,ITIS,Genus,Themistella,Amphipod,TRUE
Paraeuchaeta,Paraeuchaeta,Paraeuchaeta,610024,ITIS,Genus,Paraeuchaeta,Other Calanoids,TRUE
Monstrilloida,Monstrilloida,Monstrilloida,88989,ITIS,Order,Monstrilloida,Other,TRUE
Gastropod Eggs,Other,NA,NA,OCB,NA,NA,Other,FALSE
Paraeucheata,Paraeuchaeta,Paraeuchaeta,610024,ITIS,Genus,Paraeuchaeta,Other Calanoids,TRUE
Gastropod Egg,Other,NA,NA,OCB,NA,NA,Other,FALSE
Americamysis,Americamysis,Americamysis,682489,ITIS,Genus,Americamysis,Other,TRUE
Gastropod,Gastropoda,Gastropoda,69459,ITIS,Class,Gastropoda,Other,TRUE
Hyperiid,Hyperiidea,Hyperiidea,95107,ITIS,Suborder,Hyperiidea,Amphipod,TRUE
Mysid,Mysidae,Mysidae,89856,ITIS,Family,Mysidae,Other,TRUE
Cetropages,Centropages,Centropages,85761,ITIS,Genus,Centropages,Centropages,TRUE
Hyperiella,Hyperiella,Hyperiella,95120,ITIS,Genus,Hyperiella,Amphipod,TRUE
Thysanoessa,Thysanoessa,Thysanoessa,95571,ITIS,Genus,Thysanoessa,Krill,TRUE
Gammarid Juv,Gammarus,Gammarus,93773,ITIS,Genus,Gammarus,Amphipod,TRUE
Shrimp Pinead,Penaeidae,Penaeidae,95602,ITIS,Family,Penaeidae,Other,TRUE
Hydrachnidae,Hydrachnidae,Hydrachnidae,83122,ITIS,Family,Hydrachnidae,Other,TRUE
Copepod Unknonw,Copepoda,Copepoda,85257,ITIS,Subclass,Copepoda,Other,TRUE
Eurytemora,Eurytemora,Eurytemora,85862,ITIS,Genus,Eurytemora,Other Calanoids,TRUE
Chalimus,Caligidae,Caligidae,89008,ITIS,Family,Caligidae,Other,TRUE
Copepod Unknown,Copepoda,Copepoda,85257,ITIS,Subclass,Copepoda,Other,TRUE
Foraminifera,Foraminiferida,Foraminiferida,44030,ITIS,Order,Foraminiferida,Other,TRUE
Paraphronima,Paraphronima,Paraphronima,95371,ITIS,Genus,Paraphronima,Amphipod,TRUE
Pleuromamam,Pleuromamma,Pleuromamma,85751,ITIS,Genus,Pleuromamma,Other Calanoids,TRUE
Pseudodiaptomas,Pseudodiaptomus,Pseudodiaptomus,85848,ITIS,Genus,Pseudodiaptomus,Other Calanoids,TRUE
Calanus C6,Calanus C6,Calanus,85263,ITIS,Genus,Calanus,Calanus,TRUE
Calanus C7,Calanus C7,Calanus,85263,ITIS,Genus,Calanus,Calanus,TRUE
Calanus C8,Calanus C8,Calanus,85263,ITIS,Genus,Calanus,Calanus,TRUE
Calanus C3,Calanus C3,Calanus,85263,ITIS,Genus,Calanus,Calanus,TRUE
