"abbrevName_fish","scientificName_fish","scientificNameID_fish","vernacularName"
"C. harengus","Clupea harengus",161722,"Atlantic herring"
"P. triacanthus","Peprilus triacanthus",172567,"Atlantic butterfish"
"S. scombrus","Scomber scombrus",172414,"Atlantic mackerel"
"A. aestivalis","Alosa aestivalis",161703,"Blueback herring"
"A. pseudoharengus","Alosa pseudoharengus",161706,"Alewife"
