"abbrevName_fish","scientificName_fish","scientificNameID_fish","vernacularName"
"C. harengus","Clupea harengus",urn:lsid:itis.gov:itis_tsn:161722,"Atlantic herring"
"P. triacanthus","Peprilus triacanthus",urn:lsid:itis.gov:itis_tsn:172567,"Atlantic butterfish"
"S. scombrus","Scomber scombrus",urn:lsid:itis.gov:itis_tsn:172414,"Atlantic mackerel"
"A. aestivalis","Alosa aestivalis",urn:lsid:itis.gov:itis_tsn:161703,"Blueback herring"
"A. pseudoharengus","Alosa pseudoharengus",urn:lsid:itis.gov:itis_tsn:161706,"Alewife"
"A. dubius","Ammodytes dubius",urn:lsid:itis.gov:itis_tsn:171674,"Sand lance"
