"cruise","station","cruise_station","decimalLatitude","decimalLongitude","decimalLongitude_flag","time_UTC","time_local","date","region","average_depth","FishNum","forkLength","abbrevName_fish","uniqueIdentifierFish","scientificName_fish","scientificNameID_fish","vernacularName","preyTaxon","scientificName_preyTaxon","scientificNameID_preyTaxon","preyCount"
201402,116,"201402-116",39.689,-73.642,1,23:01:50,"18:01:00",2014-04-16,"MAB",35,348,205,"A. aestivalis","201402_116_348_A_aestivalis","Alosa aestivalis",161703,"Blueback herring","Centropages spp.","Centropages",85761,2480
201402,127,"201402-127",40.120195,-73.5442316666667,1,22:07:34,"17:07:00",2014-04-17,"SNE",42,354,220,"A. aestivalis","201402_127_354_A_aestivalis","Alosa aestivalis",161703,"Blueback herring","Centropages spp.","Centropages",85761,3800
201402,127,"201402-127",40.120195,-73.5442316666667,1,22:07:34,"17:07:00",2014-04-17,"SNE",42,355,224,"A. aestivalis","201402_127_355_A_aestivalis","Alosa aestivalis",161703,"Blueback herring","Centropages spp.","Centropages",85761,2540
201402,70,"201402-70",40.5013083333333,-70.8271233333333,1,19:10:43,"14:10:00",2014-04-11,"SNE",78,369,200,"A. aestivalis","201402_70_369_A_aestivalis","Alosa aestivalis",161703,"Blueback herring","Centropages spp.","Centropages",85761,340
201402,57,"201402-57",38.587985,-74.2898816666667,1,01:05:40,"20:05:00",2014-04-03,"MAB",45,384,194,"A. aestivalis","201402_57_384_A_aestivalis","Alosa aestivalis",161703,"Blueback herring","Centropages spp.","Centropages",85761,2080
201402,57,"201402-57",38.587985,-74.2898816666667,1,01:05:40,"20:05:00",2014-04-03,"MAB",45,385,187,"A. aestivalis","201402_57_385_A_aestivalis","Alosa aestivalis",161703,"Blueback herring","Centropages spp.","Centropages",85761,1960
201402,56,"201402-56",38.334775,-74.0738666666667,1,22:40:55,"17:40:00",2014-04-02,"MAB",63,387,215,"A. aestivalis","201402_56_387_A_aestivalis","Alosa aestivalis",161703,"Blueback herring","Centropages spp.","Centropages",85761,780
201402,56,"201402-56",38.334775,-74.0738666666667,1,22:40:55,"17:40:00",2014-04-02,"MAB",63,389,222,"A. aestivalis","201402_56_389_A_aestivalis","Alosa aestivalis",161703,"Blueback herring","Centropages spp.","Centropages",85761,1220
201402,84,"201402-84",40.1852433333333,-72.2013416666667,1,07:57:36,"02:57:00",2014-04-13,"SNE",71,393,195,"A. aestivalis","201402_84_393_A_aestivalis","Alosa aestivalis",161703,"Blueback herring","Centropages spp.","Centropages",85761,15
201402,118,"201402-118",39.8629783333333,-73.7046566666667,1,03:52:17,"22:52:00",2014-04-17,"MAB",32,406,215,"A. aestivalis","201402_118_406_A_aestivalis","Alosa aestivalis",161703,"Blueback herring","Centropages spp.","Centropages",85761,6100
201402,118,"201402-118",39.8629783333333,-73.7046566666667,1,03:52:17,"22:52:00",2014-04-17,"MAB",32,407,195,"A. aestivalis","201402_118_407_A_aestivalis","Alosa aestivalis",161703,"Blueback herring","Centropages spp.","Centropages",85761,3400
201402,69,"201402-69",40.6541166666667,-70.7571333333333,1,16:56:28,"11:56:00",2014-04-11,"SNE",64,429,185,"A. aestivalis","201402_69_429_A_aestivalis","Alosa aestivalis",161703,"Blueback herring","Centropages spp.","Centropages",85761,5
201402,189,"201402-189",42.1581466666667,-69.9618333333333,1,01:04:52,"20:04:00",2014-05-07,"GoM",140,325,164,"A. pseudoharengus","201402_189_325_A_pseudoharengus","Alosa pseudoharengus",161706,"Alewife","Centropages spp.","Centropages",85761,1
201402,68,"201402-68",40.8575783333333,-70.9401116666667,1,14:04:44,"09:04:00",2014-04-11,"SNE",55,337,206,"A. pseudoharengus","201402_68_337_A_pseudoharengus","Alosa pseudoharengus",161706,"Alewife","Centropages spp.","Centropages",85761,20
201402,118,"201402-118",39.8629783333333,-73.7046566666667,1,03:52:17,"22:52:00",2014-04-17,"MAB",32,340,235,"A. pseudoharengus","201402_118_340_A_pseudoharengus","Alosa pseudoharengus",161706,"Alewife","Centropages spp.","Centropages",85761,1940
201402,118,"201402-118",39.8629783333333,-73.7046566666667,1,03:52:17,"22:52:00",2014-04-17,"MAB",32,341,232,"A. pseudoharengus","201402_118_341_A_pseudoharengus","Alosa pseudoharengus",161706,"Alewife","Centropages spp.","Centropages",85761,1300
201402,64,"201402-64",41.2053166666667,-71.2291983333333,1,04:06:09,"23:06:00",2014-04-11,"SNE",48,366,93,"A. pseudoharengus","201402_64_366_A_pseudoharengus","Alosa pseudoharengus",161706,"Alewife","Centropages spp.","Centropages",85761,145
201402,64,"201402-64",41.2053166666667,-71.2291983333333,1,04:06:09,"23:06:00",2014-04-11,"SNE",48,367,100,"A. pseudoharengus","201402_64_367_A_pseudoharengus","Alosa pseudoharengus",161706,"Alewife","Centropages spp.","Centropages",85761,90
201402,116,"201402-116",39.689,-73.642,1,23:01:50,"18:01:00",2014-04-16,"MAB",35,447,241,"A. pseudoharengus","201402_116_447_A_pseudoharengus","Alosa pseudoharengus",161706,"Alewife","Centropages spp.","Centropages",85761,3060
201402,116,"201402-116",39.689,-73.642,1,23:01:50,"18:01:00",2014-04-16,"MAB",35,448,221,"A. pseudoharengus","201402_116_448_A_pseudoharengus","Alosa pseudoharengus",161706,"Alewife","Centropages spp.","Centropages",85761,1200
201402,66,"201402-66",40.8847816666667,-71.1805033333333,1,08:35:56,"03:35:00",2014-04-11,"SNE",54,218,215,"C. harengus","201402_66_218_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,520
201402,66,"201402-66",40.8847816666667,-71.1805033333333,1,08:35:56,"03:35:00",2014-04-11,"SNE",54,219,225,"C. harengus","201402_66_219_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,75
201402,64,"201402-64",41.2053166666667,-71.2291983333333,1,04:06:09,"23:06:00",2014-04-11,"SNE",48,220,180,"C. harengus","201402_64_220_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,83
201402,64,"201402-64",41.2053166666667,-71.2291983333333,1,04:06:09,"23:06:00",2014-04-11,"SNE",48,221,180,"C. harengus","201402_64_221_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,49
201402,114,"201402-114",39.24038,-73.7297483333333,1,18:00:00,"13:00:00",2014-04-16,"MAB",43,224,243,"C. harengus","201402_114_224_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,1260
201402,114,"201402-114",39.24038,-73.7297483333333,1,18:00:00,"13:00:00",2014-04-16,"MAB",43,225,238,"C. harengus","201402_114_225_C_harengus","Clupea harengus",161722,"Atlantic herring","Centropages spp.","Centropages",85761,675
