"Cruise","Station","StationID","Latitude","Longitude","FishNum","Time","Station_Depth","Region","FL_mm","Species","preyTaxon","preyCount","uniqueIdentifierFish","GMT_TIME","DECDEG_BEGLAT","DECDEG_BEGLON","AVGDEPTH","date","time_local","preytype_stnd","resolved_names","resolved_id_fromgnr","scientificName_fish","scientificNameID_fish","vernacularName","lon_match","lat_match","depth_match","decimalLongitude_flag"
201504,231,"201504-231",40.9816666666667,-68.7866666666667,710,1704,39.1,"GB",85,"P. triacanthus","Centropages spp.",2,"201504_231_710_P_triacanthus",22:04:51,40.981215,-68.786152,"70",2015-09-28,"17:04:00","Centropages spp.","Centropages",85761,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,291,"201504-291",41.6166666666667,-68.07,669,2102,21.6,"GB",169,"S. scombrus","Calanus spp.",3,"201504_291_669_S_scombrus",02:02:53,41.617223,-68.069605,"40",2015-10-13,"21:02:00","Calanus spp.","Calanus",85263,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,154,"201504-154",39.8833333333333,-71.8,698,2201,88.3,"SNE",135,"P. triacanthus","Calanus spp.",1,"201504_154_698_P_triacanthus",03:01:31,39.882947,-71.800083,"160",2015-09-15,"22:01:00","Calanus spp.","Calanus",85263,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,136,"201504-136",39.5366666666667,-72.8166666666667,706,639,37.2,"SNE",86,"P. triacanthus","Calanus spp.",1,"201504_136_706_P_triacanthus",11:39:50,39.536643,-72.816463,"67",2015-09-13,"06:39:00","Calanus spp.","Calanus",85263,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,365,"201504-365",42.0933333333333,-70.3116666666667,630,653,33.4,"GoM",271,"S. scombrus","PPC",2300,"201504_365_630_S_scombrus",11:53:55,42.093915,-70.31217,"61",2015-10-28,"06:53:00","P P C","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,365,"201504-365",42.0933333333333,-70.3116666666667,631,653,33.4,"GoM",315,"S. scombrus","PPC",18,"201504_365_631_S_scombrus",11:53:55,42.093915,-70.31217,"61",2015-10-28,"06:53:00","P P C","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,295,"201504-295",41.9333333333333,-67.8183333333333,642,720,32.3,"GB",160,"S. scombrus","PPC",18,"201504_295_642_S_scombrus",12:20:18,41.933522,-67.81801,"59",2015-10-13,"07:20:00","P P C","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,387,"201504-387",42.9516666666667,-70.165,659,1603,80.4,"GoM",146,"S. scombrus","PPC",40,"201504_387_659_S_scombrus",21:03:23,42.952407,-70.164332,"150",2015-10-30,"16:03:00","P P C","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,387,"201504-387",42.9516666666667,-70.165,660,1603,80.4,"GoM",168,"S. scombrus","PPC",150,"201504_387_660_S_scombrus",21:03:23,42.952407,-70.164332,"150",2015-10-30,"16:03:00","P P C","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,387,"201504-387",42.9516666666667,-70.165,661,1603,80.4,"GoM",100,"S. scombrus","PPC",3,"201504_387_661_S_scombrus",21:03:23,42.952407,-70.164332,"150",2015-10-30,"16:03:00","P P C","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,291,"201504-291",41.6166666666667,-68.07,669,2102,21.6,"GB",169,"S. scombrus","PPC",63,"201504_291_669_S_scombrus",02:02:53,41.617223,-68.069605,"40",2015-10-13,"21:02:00","P P C","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,291,"201504-291",41.6166666666667,-68.07,670,2102,21.6,"GB",162,"S. scombrus","PPC",10,"201504_291_670_S_scombrus",02:02:53,41.617223,-68.069605,"40",2015-10-13,"21:02:00","P P C","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,365,"201504-365",42.0933333333333,-70.3116666666667,691,653,33.4,"GoM",139,"S. scombrus","PPC",1700,"201504_365_691_S_scombrus",11:53:55,42.093915,-70.31217,"61",2015-10-28,"06:53:00","P P C","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,365,"201504-365",42.0933333333333,-70.3116666666667,692,653,33.4,"GoM",142,"S. scombrus","PPC",620,"201504_365_692_S_scombrus",11:53:55,42.093915,-70.31217,"61",2015-10-28,"06:53:00","P P C","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,154,"201504-154",39.8833333333333,-71.8,699,2201,88.3,"SNE",136,"P. triacanthus","PPC",3,"201504_154_699_P_triacanthus",03:01:31,39.882947,-71.800083,"160",2015-09-15,"22:01:00","P P C","Calanoida",85258,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,365,"201504-365",42.0933333333333,-70.3116666666667,631,653,33.4,"GoM",315,"S. scombrus","Temora longicornis",1,"201504_365_631_S_scombrus",11:53:55,42.093915,-70.31217,"61",2015-10-28,"06:53:00","Temora longicornis","Temora longicornis",85877,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,387,"201504-387",42.9516666666667,-70.165,659,1603,80.4,"GoM",146,"S. scombrus","Temora longicornis",380,"201504_387_659_S_scombrus",21:03:23,42.952407,-70.164332,"150",2015-10-30,"16:03:00","Temora longicornis","Temora longicornis",85877,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,387,"201504-387",42.9516666666667,-70.165,660,1603,80.4,"GoM",168,"S. scombrus","Temora longicornis",550,"201504_387_660_S_scombrus",21:03:23,42.952407,-70.164332,"150",2015-10-30,"16:03:00","Temora longicornis","Temora longicornis",85877,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,387,"201504-387",42.9516666666667,-70.165,661,1603,80.4,"GoM",100,"S. scombrus","Temora longicornis",4,"201504_387_661_S_scombrus",21:03:23,42.952407,-70.164332,"150",2015-10-30,"16:03:00","Temora longicornis","Temora longicornis",85877,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,365,"201504-365",42.0933333333333,-70.3116666666667,692,653,33.4,"GoM",142,"S. scombrus","Temora longicornis",40,"201504_365_692_S_scombrus",11:53:55,42.093915,-70.31217,"61",2015-10-28,"06:53:00","Temora longicornis","Temora longicornis",85877,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,232,"201504-232",41.0283333333333,-68.7,638,1912,36.4,"GoM",136,"P. triacanthus","Calanoida",15,"201504_232_638_P_triacanthus",00:12:48,41.02813,-68.699883,"67",2015-09-29,"19:12:00","Calanoida","Calanoida",85258,"Peprilus triacanthus",172567,"Atlantic butterfish","TRUE","TRUE","FALSE",1
201504,295,"201504-295",41.9333333333333,-67.8183333333333,644,720,32.3,"GB",129,"S. scombrus","Calanoida",3,"201504_295_644_S_scombrus",12:20:18,41.933522,-67.81801,"59",2015-10-13,"07:20:00","Calanoida","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,332,"201504-332",43.5433333333333,-67.0116666666667,655,1924,115.6,"GoM",119,"A. pseudoharengus","Calanoida",3,"201504_332_655_A_pseudoharengus",00:24:28,43.543155,-67.01107,"212",2015-10-18,"19:24:00","Calanoida","Calanoida",85258,"Alosa pseudoharengus",161706,"Alewife","TRUE","TRUE","FALSE",1
201504,387,"201504-387",42.9516666666667,-70.165,659,1603,80.4,"GoM",146,"S. scombrus","Calanoida",840,"201504_387_659_S_scombrus",21:03:23,42.952407,-70.164332,"150",2015-10-30,"16:03:00","Calanoida","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,387,"201504-387",42.9516666666667,-70.165,660,1603,80.4,"GoM",168,"S. scombrus","Calanoida",2150,"201504_387_660_S_scombrus",21:03:23,42.952407,-70.164332,"150",2015-10-30,"16:03:00","Calanoida","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,387,"201504-387",42.9516666666667,-70.165,661,1603,80.4,"GoM",100,"S. scombrus","Calanoida",231,"201504_387_661_S_scombrus",21:03:23,42.952407,-70.164332,"150",2015-10-30,"16:03:00","Calanoida","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,298,"201504-298",41.8533333333333,-67.3083333333333,668,1529,26,"GB",138,"S. scombrus","Calanoida",1,"201504_298_668_S_scombrus",20:29:11,41.852605,-67.308365,"48",2015-10-13,"15:29:00","Calanoida","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,291,"201504-291",41.6166666666667,-68.07,669,2102,21.6,"GB",169,"S. scombrus","Calanoida",223,"201504_291_669_S_scombrus",02:02:53,41.617223,-68.069605,"40",2015-10-13,"21:02:00","Calanoida","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,291,"201504-291",41.6166666666667,-68.07,670,2102,21.6,"GB",162,"S. scombrus","Calanoida",8,"201504_291_670_S_scombrus",02:02:53,41.617223,-68.069605,"40",2015-10-13,"21:02:00","Calanoida","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,334,"201504-334",43.835,-66.735,676,138,74.6,"GoM",50,"A. pseudoharengus","Calanoida",1,"201504_334_676_A_pseudoharengus",06:38:50,43.834538,-66.735643,"136",2015-10-18,"01:38:00","Calanoida","Calanoida",85258,"Alosa pseudoharengus",161706,"Alewife","TRUE","TRUE","FALSE",1
201504,333,"201504-333",43.7,-66.9866666666667,684,2253,86.9,"GoM",141,"A. pseudoharengus","Calanoida",1,"201504_333_684_A_pseudoharengus",03:53:47,43.70071,-66.986778,"157",2015-10-18,"22:53:00","Calanoida","Calanoida",85258,"Alosa pseudoharengus",161706,"Alewife","TRUE","TRUE","FALSE",1
201504,365,"201504-365",42.0933333333333,-70.3116666666667,691,653,33.4,"GoM",139,"S. scombrus","Calanoida",11050,"201504_365_691_S_scombrus",11:53:55,42.093915,-70.31217,"61",2015-10-28,"06:53:00","Calanoida","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,365,"201504-365",42.0933333333333,-70.3116666666667,692,653,33.4,"GoM",142,"S. scombrus","Calanoida",1400,"201504_365_692_S_scombrus",11:53:55,42.093915,-70.31217,"61",2015-10-28,"06:53:00","Calanoida","Calanoida",85258,"Scomber scombrus",172414,"Atlantic mackerel","TRUE","TRUE","FALSE",1
201504,51,"201504-51",36.3916666666667,-74.85,701,2128,38.5,"MAB",210,"P. triacanthus","Calanoida",1,"201504_51_701_P_triacanthus",02:28:31,36.392453,-74.850483,"70",2015-09-05,"21:28:00","Calanoida","Calanoida",85258,"Peprilus triacanthus",172567,"Atlantic butterfish","FALSE","TRUE","FALSE",3
