"Cruise","Station","StationID","Latitude","Longitude","FishNum","Time","Station_Depth","Region","FL_mm","Species","preyTaxon","preyCount","uniqueIdentifierFish","GMT_TIME","DECDEG_BEGLAT","DECDEG_BEGLON","AVGDEPTH","date","time_local","preytype_stnd","resolved_names","resolved_id_fromgnr","scientificName_fish","scientificNameID_fish","vernacularName","lon_match","lat_match","depth_match"
201402,289,"201402-289",43.1084516666667,-69.7166666666667,283,1230,197,"GoM",211,"A. aestivalis","Parathemisto spp.",8,"201402_289_283_A_aestivalis",17:30:16,43.108452,-67.889833,"197",2014-05-18,"12:30:00","Parathemisto spp.","Parathemisto",95148,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,296,"201402-296",42.1712566666667,-69.7166666666667,284,1004,192,"GoM",222,"A. aestivalis","Parathemisto spp.",1,"201402_296_284_A_aestivalis",15:04:40,42.171257,-68.309485,"192",2014-05-19,"10:04:00","Parathemisto spp.","Parathemisto",95148,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,289,"201402-289",43.1084516666667,-69.7166666666667,283,1230,197,"GoM",211,"A. aestivalis","Mysidae",1,"201402_289_283_A_aestivalis",17:30:16,43.108452,-67.889833,"197",2014-05-18,"12:30:00","Mysidae","Mysidae",89856,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,273,"201402-273",44.2928666666667,-69.3833333333333,264,3,180,"GoM",170,"A. aestivalis","Neomysis spp.",2,"201402_273_264_A_aestivalis",05:03:19,44.292867,-67.235202,"180",2014-05-16,"00:03:00","Neomysis spp.","Neomysis",90054,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,276,"201402-276",44.2513783333333,-69.0033333333333,258,1703,70,"GoM",132,"A. aestivalis","Oikopleura spp.",184,"201402_276_258_A_aestivalis",22:03:14,44.251378,-67.914183,"70",2014-05-16,"17:03:00","Oikopleura spp.","Oikopleura",159668,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,276,"201402-276",44.2513783333333,-69.3833333333333,259,1703,70,"GoM",127,"A. aestivalis","Oikopleura spp.",7,"201402_276_259_A_aestivalis",22:03:14,44.251378,-67.914183,"70",2014-05-16,"17:03:00","Oikopleura spp.","Oikopleura",159668,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,273,"201402-273",44.2928666666667,-69.3833333333333,263,3,180,"GoM",188,"A. aestivalis","Oikopleura spp.",4440,"201402_273_263_A_aestivalis",05:03:19,44.292867,-67.235202,"180",2014-05-16,"00:03:00","Oikopleura spp.","Oikopleura",159668,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,273,"201402-273",44.2928666666667,-69.3833333333333,264,3,180,"GoM",170,"A. aestivalis","Oikopleura spp.",2260,"201402_273_264_A_aestivalis",05:03:19,44.292867,-67.235202,"180",2014-05-16,"00:03:00","Oikopleura spp.","Oikopleura",159668,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,274,"201402-274",44.3150183333333,-69.3833333333333,272,203,164,"GoM",207,"A. aestivalis","Oikopleura spp.",1390,"201402_274_272_A_aestivalis",07:03:34,44.315018,-67.283932,"164",2014-05-16,"02:03:00","Oikopleura spp.","Oikopleura",159668,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,274,"201402-274",44.3150183333333,-69.55,274,203,164,"GoM",155,"A. aestivalis","Oikopleura spp.",1190,"201402_274_274_A_aestivalis",07:03:34,44.315018,-67.283932,"164",2014-05-16,"02:03:00","Oikopleura spp.","Oikopleura",159668,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
201402,289,"201402-289",43.1084516666667,-69.7166666666667,283,1230,197,"GoM",211,"A. aestivalis","Limacina helicina",5,"201402_289_283_A_aestivalis",17:30:16,43.108452,-67.889833,"197",2014-05-18,"12:30:00","Limacina helicina","Limacina helicina",76340,"Alosa aestivalis",161703,"Blueback herring",FALSE,TRUE,TRUE
