"cruise","station","decimalLatitude","decimalLongitude","time_UTC","date","average_depth","Fish_Num","abbrevName_fish","uniqueIdentifierFish","scientificName_fish","scientificNameID_fish","vernacularName","d13C","d15N","C_to_N","d13C_corr"
201302,60,36.200507,-75.339775,01:10:35,2013-03-21,"30",2,"C. harengus","201302_60_2_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.6308651226024,12.333877043007,3.30275495196016,-18.1357397675215
201302,60,36.200507,-75.339775,01:10:35,2013-03-21,"30",4,"C. harengus","201302_60_4_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.5059345594879,12.7944651807415,3.2408604095337,-18.0940677672242
201302,134,40.292947,-72.252513,23:17:28,2013-03-28,"60",8,"S. scombrus","201302_134_8_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-19.1850159294213,12.4472029194427,3.1853609003564,-18.8491687453046
201302,134,40.292947,-72.252513,23:17:28,2013-03-28,"60",9,"S. scombrus","201302_134_9_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-19.8823494869107,12.8031390435825,3.33263738456672,-19.3475841321642
201302,7,38.049048,-73.995387,05:26:18,2013-03-16,"113",13,"P. triacanthus","201302_7_13_P_triacanthus","Peprilus triacanthus",172567,"Atlantic butterfish",-17.4562913583508,17.1452267959843,3.1932729521464,-17.1095261756183
201302,7,38.049048,-73.995387,05:26:18,2013-03-16,"113",14,"P. triacanthus","201302_7_14_P_triacanthus","Peprilus triacanthus",172567,"Atlantic butterfish",-17.9847502999828,11.6366206234736,3.25538890663445,-17.5531982957664
201302,24,36.637872,-74.939288,17:29:10,2013-03-17,"30",18,"S. scombrus","201302_24_18_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-19.9685411595552,13.2087289157208,3.36325292678901,-19.3935302410346
201302,24,36.637872,-74.939288,17:29:10,2013-03-17,"30",20,"S. scombrus","201302_24_20_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-18.4644249728154,12.6967804827956,3.22204358428098,-18.0781853852933
201302,13,37.740413,-74.718672,18:34:47,2013-03-16,"48",22,"C. harengus","201302_13_22_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.5830727940692,12.6943799550514,3.32413876084361,-18.0595448498979
201302,13,37.740413,-74.718672,18:34:47,2013-03-16,"48",23,"C. harengus","201302_13_23_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.4503337628114,12.2065016249847,3.19162794895903,-18.1058363237135
201302,124,39.5307,-72.892843,22:09:45,2013-03-27,"60",26,"S. scombrus","201302_124_26_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-19.2765095724266,11.9106504125979,3.21105462997171,-18.9053054882789
201302,124,39.5307,-72.892843,22:09:45,2013-03-27,"60",27,"S. scombrus","201302_124_27_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-19.2137598880962,12.78256404118,3.31388781608458,-18.7038246715902
201302,224,41.441877,-68.754743,08:46:20,2013-04-12,"136",31,"P. triacanthus","201302_224_31_P_triacanthus","Peprilus triacanthus",172567,"Atlantic butterfish",-20.9126417918762,11.2560307441778,5.12974483906661,-18.4797606924791
201302,80,38.176442,-74.724083,00:46:20,2013-03-23,"34",32,"S. scombrus","201302_80_32_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-20.1203192473395,13.6429146329734,3.47100970018792,-19.4065144631483
201302,218,41.90631,-69.80113,15:14:24,2013-04-11,"101",33,"S. scombrus","201302_218_33_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-20.3482496072311,10.7638494230496,3.24461770507176,-19.9312834655529
201302,218,41.90631,-69.80113,15:14:24,2013-04-11,"101",36,"S. scombrus","201302_218_36_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-20.0315502201197,11.2435406635836,3.18575456353246,-19.6951591715417
201302,124,39.5307,-72.892843,22:09:45,2013-03-27,"60",37,"C. harengus","201302_124_37_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.8182607013662,12.5413819712295,3.28147393148647,-18.3515845690871
201302,124,39.5307,-72.892843,22:09:45,2013-03-27,"60",40,"C. harengus","201302_124_40_C_harengus","Clupea harengus",161722,"Atlantic herring",-18.7573836472968,11.6878134483742,3.16448543943519,-18.4504736152269
201302,69,37.05521,-75.379185,21:55:00,2013-03-21,"29",42,"S. scombrus","201302_69_42_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel",-19.3178341031575,12.5217412864109,3.25006246795658,-18.8934888738472
